email,login,last_click,logout
jane.doe@example.com,2025-01-25 08:30:00,2025-01-25 09:45:00,2025-01-25 10:00:00
john.smith@example.com,2025-01-25 09:00:00,2025-01-25 09:30:00,2025-01-25 10:15:00
mary.johnson@example.com,2025-01-25 07:45:00,2025-01-25 08:10:00,2025-01-25 09:00:00
peter.white@example.com,2025-01-25 10:15:00,2025-01-25 10:30:00,2025-01-25 11:00:00
anna.brown@example.com,2025-01-25 11:00:00,2025-01-25 11:30:00,2025-01-25 12:00:00
lucas.green@example.com,2025-01-25 08:00:00,2025-01-25 08:45:00,2025-01-25 09:30:00
emily.wilson@example.com,2025-01-25 07:30:00,2025-01-25 08:00:00,2025-01-25 08:45:00
michael.davis@example.com,2025-01-25 09:15:00,2025-01-25 09:45:00,2025-01-25 10:30:00
olivia.martin@example.com,2025-01-25 09:05:00,2025-01-25 09:35:00,2025-01-25 10:10:00
alex.miller@example.com,2025-01-25 10:30:00,2025-01-25 11:00:00,2025-01-25 11:45:00
john.smith@example.com,2025-01-25 09:00:00,2025-01-25 09:30:00,2025-01-25 10:15:00
mary.johnson@example.com,2025-01-25 07:45:00,2025-01-25 08:10:00,2025-01-25 09:00:00
peter.white@example.com,2025-01-25 10:15:00,2025-01-25 10:30:00,2025-01-25 11:00:00
anna.brown@example.com,2025-01-25 11:00:00,2025-01-25 11:30:00,2025-01-25 12:00:00
lucas.green@example.com,2025-01-25 09:00:00,2025-01-25 08:45:00,2025-01-25 09:30:00
jane.doe@example.com,2025-01-26 11:56:57,,
1jane.doe@example.com,2025-01-26 11:57:05,2025-01-26 11:57:05,2025-01-26 11:57:05
1jane.doe@example.com,2025-01-26 11:57:11,2025-01-26 11:57:11,2025-01-26 11:57:11
jane.doe@example.com,2025-01-26 11:58:31,2025-01-26 11:58:31,2025-01-26 11:58:31
[],2025-01-26 13:00:34,,
penchalaprabhas@gmail.com,2025-01-26 13:03:11,2025-01-26 13:03:23,2025-01-26 13:04:35
penchalaprabhas@gmail.com,2025-01-26 13:04:46,2025-01-26 13:05:44,2025-01-26 13:06:21
temp@gmail.com,2025-01-26 13:08:38,2025-01-26 13:10:04,2025-01-26 13:10:07
temp@gmail.com,2025-01-26 13:10:13,2025-01-26 13:10:14,2025-01-26 13:10:18
penchalaprabhas@gmail.com,2025-01-26 13:15:43,2025-01-26 13:16:55,2025-01-26 13:16:56
penchalaprabhas@gmail.com,2025-01-26 13:18:44,2025-01-26 13:20:53,2025-01-26 13:20:55
temp@gmail.com,2025-01-29 12:46:06,2025-01-29 12:47:42,2025-01-29 12:47:46
gundlurumadhura@gmail.com,2026-03-26 15:25:30,2026-03-26 16:20:50,
